白名单,#genre#
黑龙江｜少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226304/index.m3u8
足球,https://nmglive.imfc.cn/5n1r1c/182396.m3u8
黑龙江新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226330/index.m3u8
山西｜卫视,http://liveflash.sxrtv.com/live/sxwshd.m3u8?sub_m3u8=true&edge_slice=true
黑龙江农科,http://39.134.67.108/PLTV/88888888/224/3221225994/1.m3u8
体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226398/index.m3u8
东森美洲2,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
东森美洲中国,http://38.64.72.148:80/hls/modn/list/2003/chunklist0.m3u8
东森美洲2,http://38.64.72.148:80/hls/modn/list/2015/chunklist1.m3u8
纬来电影,http://108.181.20.197/livehttpplay?channel_id=20199
TVBS精彩,http://108.181.20.197/livehttpplay?channel_id=20136
Channel8,http://108.181.20.197/livehttpplay?channel_id=10132
龙华日韩,http://108.181.20.197/livehttpplay?channel_id=20081
龙华偶像,http://108.181.20.197/livehttpplay?channel_id=20023
AmericanHorrors,http://107.167.7.162:8081/playlist/amhor/playlist.m3u8
VIUTV'英,http://api.mg.itv888.cn:8080/hls/0408f039a12/index.m3u8
HBOFamily,http://108.181.20.197/livehttpplay?channel_id=20092
壹新闻,http://108.181.20.197/livehttpplay?channel_id=20028
流行舞曲02,http://txmov2.a.kwimgs.com/upic/2023/12/05/13/BMjAyMzEyMDUxMzE1MTdfMjM0Mjg1Nzg4Ml8xMTg4OTc4MjIyMjFfMV8z_b_B004cc9f0156f1196335a505a63b1b750.mp4?tag=1-1701947365-std-1-fxxcn4woik-48e2be84a01a7e83&clientCacheKey=3xm64tb7cixz88g_b.mp4&tt=b&di=529d11df&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
TVBSAsia,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
年代新闻,http://108.181.20.197/livehttpplay?channel_id=20033
国兴卫视,http://108.181.20.197/livehttpplay?channel_id=20164
ELTA体育2台,http://108.181.20.197/livehttpplay?channel_id=20107
东森财经,http://live4play.uk/livehttpplay?channel_id=20078
春晚2021,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzE4NTJfNDAzMDAxOTlfNjYxNzUzOTg3NjlfMF8z_b_Be41d9503181d7b0608a839ed401e02c2.mp4
江西少儿,http://203.205.191.53/yun-live.jxtvcn.com.cn/live-jxtv/tv_jxtv6.m3u8
蔡丽津月圆情,http://vd3.bdstatic.com/mda-jm53zq7k0b0kbxch/sc/mda-jm53zq7k0b0kbxch.mp4
小凤凤爱情一阵风,http://vd2.bdstatic.com/mda-jjm7vgq1iahz0zpg/mda-jjm7vgq1iahz0zpg.mp4
无聊的爱情,http://vd3.bdstatic.com/mda-jfkhu7bksxcqjq2z/mda-jfkhu7bksxcqjq2z.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
卓依婷-免失志,http://vd3.bdstatic.com/mda-jdngvdh4ru0irwma/mda-jdngvdh4ru0irwma.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
卓依婷--山不转水转,http://vd3.bdstatic.com/mda-jb7pfvgc6wuivhqi/mda-jb7pfvgc6wuivhqi.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
卓依婷-萍聚,http://vd3.bdstatic.com/mda-jenmbx88uk365k40/mda-jenmbx88uk365k40.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
罗时丰心事,http://vd2.bdstatic.com/mda-jaadiz1rwrtrj7kw/sc/mda-jaadiz1rwrtrj7kw.mp4
醉千年李袁杰,http://vd3.bdstatic.com/mda-ihai9qt3yny3sx53//mda-ihai9qt3yny3sx53.mp4?pd=19&vt=1
歌MV4,http://vd4.bdstatic.com/mda-icpieeuwfuwruijw/sc/mda-icpieeuwfuwruijw.mp4
卓依婷-东南西北风,http://vd3.bdstatic.com/mda-jf9fszd51shymgp6/mda-jf9fszd51shymgp6.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
王彩华爱情的骗子我问你,http://vd4.bdstatic.com/mda-jm4h7v1isxwc660u/sc/mda-jm4h7v1isxwc660u.mp4
心挂意无处用,http://vd3.bdstatic.com/mda-jfkgx7x5gki9xpgs/mda-jfkgx7x5gki9xpgs.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
卓依婷-蜗牛与黄鹂鸟,http://vd3.bdstatic.com/mda-jfjnacpfn6r21dec/mda-jfjnacpfn6r21dec.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
陈柯宇-生僻字,http://vd2.bdstatic.com/mda-jb28qp6tauzkzpy9/hd/mda-jb28qp6tauzkzpy9.mp4
卓依婷-鲁冰花,http://vd3.bdstatic.com/mda-jf8fbjprnf1fvpxm/mda-jf8fbjprnf1fvpxm.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
歌MV7,http://vd4.bdstatic.com/mda-ji3nh9t9qpewj26m/sc/mda-ji3nh9t9qpewj26m.mp4
卓依婷-莫辜负好时光,http://vd3.bdstatic.com/mda-jfkkh6m5u47trvqc/mda-jfkkh6m5u47trvqc.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
卓依婷-谢谢你的爱,http://vd3.bdstatic.com/mda-jf2fuh2yhd0txff0/mda-jf2fuh2yhd0txff0.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
爱拼才会赢,http://vd3.bdstatic.com/mda-jfreugw1pcza8xr1/mda-jfreugw1pcza8xr1.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
陈柯宇生僻字,http://vd2.bdstatic.com/mda-jb28qp6tauzkzpy9//mda-jb28qp6tauzkzpy9.mp4
卓依婷-无情的班机,http://vd3.bdstatic.com/mda-jeqjsqimdzvytgvv/mda-jeqjsqimdzvytgvv.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
春晚1985,http://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDFfNDAzMDAxOTlfNjYyNzMyNTAwMzJfMF8z_b_Be73c5abcbc0eeb2ec9fce6842e1362a4.mp4
歌MV6,http://vd4.bdstatic.com/mda-jepbbqntd414qsem/sc/mda-jepbbqntd414qsem.mp4
歌MV5,http://vd4.bdstatic.com/mda-jhtriuc2z5fddtre/sc/mda-jhtriuc2z5fddtre.mp4
醉千年李袁杰,http://vd3.bdstatic.com/mda-ihai9qt3yny3sx53/hd/mda-ihai9qt3yny3sx53.mp4?pd=19&vt=1
卓依婷-电话情思,http://vd3.bdstatic.com/mda-jfghscj8datutink/mda-jfghscj8datutink.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
伍佰合集,http://vd3.bdstatic.com/mda-pe07i71fkd531zj1/sc/bd265_cae_roi_v5/1682947766065803786/mda-pe07i71fkd531zj1.mp4
罗时丰男人的汗[848*480],http://vd4.bdstatic.com/mda-jm491avwdp96qg02//mda-jm491avwdp96qg02.mp4
陈百潭-初恋,http://vd4.bdstatic.com/mda-jk22i7yt5vyjbgwt/hd/mda-jk22i7yt5vyjbgwt.mp4
江蕙梦中的情话,http://vd2.bdstatic.com/mda-ji4rwrwg7fijyqkh/mda-ji4rwrwg7fijyqkh.mp4
歌MV3,http://vd4.bdstatic.com/mda-jhid37v9u4vny09j/sc/mda-jhid37v9u4vny09j.mp4
李玲玉女儿情,http://vd4.bdstatic.com/mda-jiqh0kcd7kgpwnmb/sc/mda-jiqh0kcd7kgpwnmb.mp4
陈淑苹我的伤心谁人知,http://vd3.bdstatic.com/mda-ijjfe3s5z1iyvzgq/sc/mda-ijjfe3s5z1iyvzgq.mp4
陈淑桦+李宗盛-你走你的路,http://em.21dtv.com/songs/60032576.mkv
卓依婷-梦醒十分,http://vd3.bdstatic.com/mda-jennyc5ci1ugrxzi/mda-jennyc5ci1ugrxzi.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
汪峰-怒放的生命,http://em.21dtv.com/songs/60032787.mkv
徐小凤-每日怀念你,http://em.21dtv.com/songs/60029044.mkv
浪人情歌,http://vd3.bdstatic.com/mda-jetdgjum2nxdvtmu/mda-jetdgjum2nxdvtmu.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
杨千嬅-你还爱我吗,http://em.21dtv.com/songs/60031733.mkv
卓依婷-橄榄树,http://vd3.bdstatic.com/mda-jfagwdhxb30ymr13/mda-jfagwdhxb30ymr13.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
马嘉均-幽默感,http://em.21dtv.com/songs/60138263.mkv
AssyriaSat[Not24/7],http://66.242.170.53/hls/live/temp/index.m3u8
刘清沨-曾经拥有的那些年,http://em.21dtv.com/songs/60110036.mkv
刘德华-世界第一等,http://em.21dtv.com/songs/60039259.mkv
paradise,http://em.21dtv.com/songs/60004411.mkv
朴树-NEVERKNOWSTOMORROW,http://em.21dtv.com/songs/60145204.mkv
陈奕迅-每一个明天,http://em.21dtv.com/songs/60029081.mkv
梅艳芳-今宵多珍重,http://em.21dtv.com/songs/60023925.mkv
邓丽君-你在我心中,http://em.21dtv.com/songs/60032477.mkv
陈百强-南北一家亲,http://em.21dtv.com/songs/60031082.mkv
罗时丰爱情的路,http://vd4.bdstatic.com/mda-jcrjcp1wy5q2i00n/sc/mda-jcrjcp1wy5q2i00n.mp4
爱情总在幻灭时最美,http://em.21dtv.com/songs/60008505.mkv
高兰萨朵-在彼岸盛开,http://em.21dtv.com/songs/60144209.mkv
4K60PSDR-H264-AAC测试,https://cdn.jsdelivr.net/gh/feiyang666999/testvideo/sdr4kvideo/playlist.m3u8
谭咏麟+李克勤-球迷奇遇记,http://em.21dtv.com/songs/60035811.mkv
ETMall60,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV18.m3u8
东森财经新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV03.m3u8
东森洋片,http://live4play.uk/livehttpplay?channel_id=20080
CCTV阿拉伯语,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7813&tk=e503191f8e20
纬来电影,http://live4play.uk/livehttpplay?channel_id=20199
孙楠+王逸洁+朱婷婷-美丽的神话(最美和声),http://em.21dtv.com/songs/60100838.mkv
芬芳,http://em.21dtv.com/songs/60017147.mkv
CBS2BillingsMT(KTVQ),https://livetv-fa.tubi.video/ktvq/playlist.m3u8
FOX32ChicagoIL(WFLD),https://livetv-fa.tubi.video/wfld/index.m3u8
WipeoutXtra,https://livetv-fa.tubi.video/wipeout-xtra/playlist.m3u8
FOX5WashingtonDC(WTTG),https://livetv-fa.tubi.video/wttg/index.m3u8
ABC12MilwaukeeWI(WISN),https://livetv-fa.tubi.video/wisn/playlist.m3u8
ABC5ClevelandOH(WEWS),https://livetv-fa.tubi.video/wews2/playlist.m3u8
NBC12HelenaMT(KTVH),https://livetv-fa.tubi.video/ktvh/playlist.m3u8
FOX6MilwaukeeWI(WITI),https://livetv-fa.tubi.video/witi/index.m3u8
FOX13TampaBayFL(WTVT),https://livetv-fa.tubi.video/wtvt/index.m3u8
Women'sSportsNetwork,https://livetv-fa.tubi.video/fast-studios-womens-sports/playlist.m3u8
AmgaTV[Not24/7],https://streamer1.connectto.com/AMGA_WEB_1202/playlist.m3u8
林依轮10首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5209257503535513363_hlsb.m3u8
同学会,https://txmov2.a.kwimgs.com/bs3/video-hls/5227553308164378988_hlshd15.m3u8
2003年,https://txmov2.a.kwimgs.com/upic/2023/01/14/23/BMjAyMzAxMTQyMzQxNDdfNDAzMDAxOTlfOTM2MTU0MTk1NDFfMF8z_b_B182749d2cd2ea9323639254af385f24b.mp4
AABCTV,https://streamer1.connectto.com/AABC_WEB_1201/index.m3u8
CBS3NorfolkVA(WTKR),https://livetv-fa.tubi.video/wtkr/playlist.m3u8
陶喆经典合集,https://txmov2.a.kwimgs.com/bs3/video-hls/5239938277375381611_hlsb.m3u8
1989年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5194620763762726260_hlsb.m3u8
陈百强-今宵多珍重,http://em.21dtv.com/songs/60023922.mkv
TMZ,https://livetv-fa.tubi.video/tmz/index.m3u8
往事只能回味,http://em.21dtv.com/songs/60043466.mkv
汪苏泷精选20首(1小时),https://txmov2.a.kwimgs.com/upic/2020/09/30/22/BMjAyMDA5MzAyMjA3NDNfODI4NTk1NTQ0XzM2ODY2MzQxNzg4XzJfMw==_b_Bb726df27e24fda5e4d31b724d84ab8d4.mp4
狗娃与黑妮,https://txmov2.a.kwimgs.com/bs3/video-hls/5204472409144867699_hlsb.m3u8
西游记I第二集,https://txmov2.a.kwimgs.com/bs3/video-hls/5221923836211844606_hlsb.m3u8
九月九的酒,https://txmov2.a.kwimgs.com/upic/2022/05/31/06/BMjAyMjA1MzEwNjM0MzNfOTU2MzA3MDg4Xzc1NjQ4MTkyNzI1XzJfMw==_b_B03de42b67a7cf66e527e985a47d4bd70.mp4
东京_里见,https://fc.maa1804.com/m/ztfuovxbul/ztfuovxbul.m3u8
MarinTVCommunityChannel(SanRafaelCA),http://96.68.164.217/live-13/live/live.m3u8
教坏细路,http://em.21dtv.com/songs/60023534.mkv
快乐老爸,https://txmov2.a.kwimgs.com/bs3/video-hls/5246693673803342239_hlsb.m3u8
加勒比樱井,https://fc.maa1804.com/f/stasfhodif/stasfhodif.m3u8
忘川彼岸,https://txmov2.a.kwimgs.com/upic/2023/07/12/20/BMjAyMzA3MTIyMDEyNTlfMzM5Njk4MTMyNl8xMDc3OTI5ODAyMDVfMF8z_b_Ba7edcee8d69c709d5e6eccdb5333d13b.mp4
不见不散,http://em.21dtv.com/songs/60011178.mkv
画你,https://txmov2.a.kwimgs.com/upic/2022/05/10/07/BMjAyMjA1MTAwNzUyMTdfOTU2MzA3MDg4Xzc0MDY5ODk4ODkxXzJfMw==_b_B46351dd76db1f05450736c479fe62b5c.mp4
内当家,https://txmov2.a.kwimgs.com/upic/2022/05/05/18/BMjAyMjA1MDUxODEzMTJfMjE0MTE5MTMzN183MzcxNzU5MDc1M18yXzM=_b_Bd2aace9af59ba5f2d93cde2dd1da4100.mp4
情网,https://txmov2.a.kwimgs.com/upic/2022/06/13/11/BMjAyMjA2MTMxMTI1MTFfOTU2MzA3MDg4Xzc2Njc4OTk0Nzc2XzJfMw==_b_Bc60dfd3075034ae610ddc66063a5bc5d.mp4?clientCacheKey=3xu8qyzhzqn7vhs_b.mp4&tt=b&di=24710b6c&bp=10000
黄美珍-旋转木马的独白,http://em.21dtv.com/songs/60145841.mkv
2023年经典DJ合集(二)40首,https://txmov2.a.kwimgs.com/bs3/video-hls/5239938286647301653_hlsb.m3u8
MarinTVGovernmentChannel(SanRafaelCA),http://96.68.164.217/live-14/live/live.m3u8
要爱你就来,https://txmov2.a.kwimgs.com/upic/2022/06/02/07/BMjAyMjA2MDIwNzI3MDZfOTU2MzA3MDg4Xzc1NzkzOTYxOTg4XzJfMw==_b_Bd233855057f07f1f3a843aa2d9750fb8.mp4
西游记I第五集,https://txmov2.a.kwimgs.com/bs3/video-hls/5197998463397799646_hlsb.m3u8
半岛电视台英文,http://live-hls-web-aje.getaj.net/AJE/index.m3u8
毛阿敏40首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5196028179371386236_hlsb.m3u8
王心凌精选69首(4小时),https://txmov2.a.kwimgs.com/upic/2023/07/26/22/BMjAyMzA3MjYyMjExNTNfMzYxMjUyNDA3MV8xMDg5NTQ4NjE1ODlfMF8z_b_Bdded2693ce6f7de089cfd7030b45bef7.mp4
专用肥皂,https://fc.maa1804.com/m/mqonningom/mqonningom.m3u8
父与子,https://txmov2.a.kwimgs.com/bs3/video-hls/5209257492751370032_hlsb.m3u8
舞曲,https://txmov2.a.kwimgs.com/upic/2022/03/25/20/BMjAyMjAzMjUyMDUyNTZfMjM0NDc1MTE5N183MDQ0NzkzMTQxOV8wXzM=_b_B383b34c7a7c97f97b5350f622d8da0a6.mp4?tag=1-1648554367-std-1-puqq96jiry-1167f7fd60758f88&clientCacheKey=3x3qtumzyu5rh6w_b.mp4&tt=b&di=79c43beb&bp=12681
素人H铃,https://fc.maa1804.com/g/wodhvufljw/wodhvufljw.m3u8
dj,https://txmov2.a.kwimgs.com/upic/2022/03/21/19/BMjAyMjAzMjExOTA2MjRfMjYyNzI4Mjc4MV83MDE2MTEwMjY1Ml8yXzM=_b_B977559109a6b2bec30b01e11d458d398.mp4
对视50秒,https://txmov2.a.kwimgs.com/bs3/video-hls/5235716135733341492_hlshd15.m3u8
东京西川美帆,https://fc.maa1804.com/d/fugwtjgrds/fugwtjgrds.m3u8
西游记I第二十二集,https://txmov2.a.kwimgs.com/bs3/video-hls/5231212506629016061_hlsb.m3u8
加勒比美月,https://fc.maa1804.com/m/bqwgxeqchj/bqwgxeqchj.m3u8
今杉香帆子,https://fc.maa1804.com/e/kjkrnilrqm/kjkrnilrqm.m3u8
金海心38首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5202783577818793385_hlsb.m3u8
蔡琴-绿岛小夜曲,http://em.21dtv.com/songs/60028153.mkv
东京小野美菜,https://fc.maa1804.com/e/bytjfeaggr/bytjfeaggr.m3u8
劲爆热舞,https://txmov2.a.kwimgs.com/upic/2024/01/28/23/BMjAyNDAxMjgyMzE4NTBfMjM5NDYzNDY0NV8xMjMzODU4NDc1NTFfMl8z_b_Bfbf57eec0884d3c429a206134c59899b.mp4?clientCacheKey=3xq3d533hx34856_b.mp4&tt=b&di=6a2aa95a&bp=10000
🔀97家有喜事,https://ukzy.ukubf4.com/20220407/Ue4rNnif/index.m3u8
东京萩原果步,https://fc.maa1804.com/h/ioamavnkeg/ioamavnkeg.m3u8
东森美洲新闻,http://38.64.72.148:80/hls/modn/list/2016/chunklist0.m3u8
☆合适,https://txmov2.a.kwimgs.com/upic/2023/08/01/19/BMjAyMzA4MDExOTE5MjZfMzUwMDUzNzE1MV8xMDk0MzQ5MTk4MjNfMl8z_b_B79a9ae8885ed7396e105166ff2a7a4d2.mp4
一本道_碧,https://fc.maa1804.com/e/ganqalkwlc/ganqalkwlc.m3u8
中旺卫视,http://38.64.72.148:80/hls/modn/list/4010/chunklist0.m3u8
加勒比双叶,https://fc.maa1804.com/h/xtnyuspejl/xtnyuspejl.m3u8
加勒比生岛凉,https://fc.maa1804.com/e/eisniscomw/eisniscomw.m3u8
海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/chunklist0.m3u8
加勒比美笑爱,https://fc.maa1804.com/c/rnpmkvqfrr/rnpmkvqfrr.m3u8
海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/chunklist1.m3u8
BYD蹦野迪,https://txmov2.a.kwimgs.com/upic/2022/05/20/06/BMjAyMjA1MjAwNjEwNDJfOTU2MzA3MDg4Xzc0ODAzNDM0NzE2XzJfMw==_b_B14d95469a28d1b07ed6d6565286a8ebf.mp4
中野,https://fc.maa1804.com/n/paeuhdhlfl/paeuhdhlfl.m3u8
加勒比美优,https://fc.maa1804.com/b/akumhzwlmn/akumhzwlmn.m3u8
中旺电视[1920x1080],http://38.64.72.148:80/hls/modn/list/4010/chunklist1.m3u8
加勒比_夏目,https://fc.maa1804.com/g/mntmspnmpm/mntmspnmpm.m3u8
特别的爱送特别的你,https://txmov2.a.kwimgs.com/upic/2022/05/24/17/BMjAyMjA1MjQxNzU3NTNfOTU2MzA3MDg4Xzc1MTY1OTQ5NjU4XzJfMw==_b_Bc946dba5a89e3d7b8b3e395581667a2d.mp4
九月九的酒,https://txmov2.a.kwimgs.com/upic/2022/05/31/06/BMjAyMjA1MzEwNjM0MzNfOTU2MzA3MDg4Xzc1NjQ4MTkyNzI1XzJfMw==_b_B03de42b67a7cf66e527e985a47d4bd70.mp4?clientCacheKey=3x373zjkw9eb7ra_b.mp4&tt=b&di=24717162&bp=10000
一路生花,https://txmov2.a.kwimgs.com/upic/2022/05/20/05/BMjAyMjA1MjAwNTIzMjZfOTU2MzA3MDg4Xzc0ODAyMzM2MTg0XzJfMw==_b_Be5527eb67c325ba55f9c099f838e34c7.mp4
NBC6NewOrleansLA(WDSU),https://livetv-fa.tubi.video/wdsu/playlist.m3u8
FOX2DetroitMI(WJBK),https://livetv-fa.tubi.video/wjbk/index.m3u8
五月天精选37首(2小时),https://txmov2.a.kwimgs.com/upic/2021/12/07/23/BMjAyMTEyMDcyMzU2MzBfMjgwMTM4ODFfNjIzMTcwNTU3MTlfMl8z_b_Bd70a16353267a52b31d11f2cb77c6c5b.mp4
加勒比白砂,https://fc.maa1804.com/n/hnalcnmzly/hnalcnmzly.m3u8
加勒比_亚美,https://fc.maa1804.com/d/lrkumlkmki/lrkumlkmki.m3u8
东京渡边伊代,https://fc.maa1804.com/b/hypjqzvbze/hypjqzvbze.m3u8
本田育奈,https://fc.maa1804.com/d/jpuekttclr/jpuekttclr.m3u8
爱你一万年,https://txmov2.a.kwimgs.com/upic/2022/05/28/17/BMjAyMjA1MjgxNzAwNTNfOTU2MzA3MDg4Xzc1NDQ5MTc5MDgxXzJfMw==_b_B86b66fa638ba1b70c664281181494236.mp4
西游记,https://txmov2.a.kwimgs.com/bs3/video-hls/5239093806671579134_hlsb.m3u8
MarinTVEducationalChannel(SanRafaelCA),http://96.68.164.217/live-15/live/live.m3u8
中江寻乃,https://fc.maa1804.com/n/gemfgbagrl/gemfgbagrl.m3u8
加勒比_华音,https://fc.maa1804.com/h/rjmcznbeku/rjmcznbeku.m3u8
now新闻台,https://cdn.163189.xyz/163189/now
加勒比_姬川,https://fc.maa1804.com/g/vphfeljbji/vphfeljbji.m3u8
加勒比青山,https://fc.maa1804.com/e/uqomnopjjl/uqomnopjjl.m3u8
云朵40首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5246412201505505933_hlsb.m3u8
咖喱辣椒,https://ukzy.ukubf4.com/20220407/2mftU655/index.m3u8
维护时间：2025-8-20#佛系维护...,https://epg-1.iill.top/v/301.mp4
myTVSanAntonioTX(KCWX-TV)[Not24/7],http://65.36.6.216:1935/live/kcwx.smil/playlist.m3u8
谭咏麟+李克勤-梦仍是一样,http://em.21dtv.com/songs/60029634.mkv
许巍-蓝莲花,http://em.21dtv.com/songs/60026063.mkv
深圳电视,http://38.64.72.148:80/hls/modn/list/4007/chunklist1.m3u8
赵四、赵本山、刘能、宋小宝小品集锦,https://txmov2.a.kwimgs.com/bs3/video-hls/5224457156030679277_hlsb.m3u8
孙楠+韩红-美丽的神话,http://em.21dtv.com/songs/60029223.mkv
红楼梦第08集,https://v.cdnlz19.com/20240831/42411_28770fd1/2000k/hls/mixed.m3u8
免费订阅：请勿贩卖...,https://epg-1.iill.top/v/302.mp4
梁静茹-纯真,http://em.21dtv.com/songs/60013402.mkv
三头魔王,https://v.cdnlz19.com/20240410/26921_3ff3d22b/index.m3u8
冰糖葫芦,http://em.21dtv.com/songs/60010849.mkv
陈百强-念亲恩,http://em.21dtv.com/songs/60032661.mkv
林子祥+谢安琪-俩忘烟水里,http://em.21dtv.com/songs/60076405.mkv
活着便精彩(演唱会),http://em.21dtv.com/songs/60022392.mkv
李宇春-零点五英里,http://em.21dtv.com/songs/60027451.mkv
孙露-鬼迷心窍,http://em.21dtv.com/songs/60115857.mkv
雷生冬-喝了这杯酒,http://em.21dtv.com/songs/60145788.mkv
海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/playlist.m3u8
红楼梦第32集,https://v.cdnlz19.com/20240831/42433_ed922c7e/2000k/hls/mixed.m3u8
红楼梦第31集,https://v.cdnlz19.com/20240831/42432_e0003917/2000k/hls/mixed.m3u8
麦穗-年年有今日,http://em.21dtv.com/songs/60061473.mkv
CBS5NashvilleTN(WTVF),https://livetv-fa.tubi.video/wtvf2/playlist.m3u8
百多,https://fc.maa1804.com/m/moqjmmjojn/moqjmmjojn.m3u8
红楼梦第09集,https://v.cdnlz19.com/20240831/42412_330cb0c7/2000k/hls/mixed.m3u8
尘缘情歌,http://em.21dtv.com/songs/60110018.mkv
红楼梦第36集,https://v.cdnlz19.com/20240831/42438_07404a40/2000k/hls/mixed.m3u8
任贤齐+周华健-天才白痴梦(演唱会),http://em.21dtv.com/songs/60041753.mkv
风小筝-青狐媚,http://em.21dtv.com/songs/60138254.mkv
蛊1981,https://v.cdnlz19.com/20240528/35190_60f24664/index.m3u8
红楼梦第15集,https://v.cdnlz19.com/20240831/42418_b2471659/2000k/hls/mixed.m3u8
庾澄庆-热情的沙漠,http://em.21dtv.com/songs/60036267.mkv
麦德罗-热情的沙漠,http://em.21dtv.com/songs/60077340.mkv
黑豹乐队-干杯,http://em.21dtv.com/songs/60138317.mkv
李翊君20首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5189835729521538666_hlsb.m3u8
AlJazeera,https://live-hls-web-aje.getaj.net/AJE/index.m3u8
神打,https://txmov2.a.kwimgs.com/upic/2023/02/24/12/BMjAyMzAyMjQxMjUyNTJfNzM5MzQzNzIyXzk2ODk4NzY0NDg2XzBfMw==_b_B395b52a73a5dccbe43ff3f6a0fd8761d.mp4
邓紫棋精选30首(2小时),https://txmov2.a.kwimgs.com/upic/2023/05/08/12/BMjAyMzA1MDgxMjIwNTNfMzQ4MzI0MjA1OF8xMDI1NjYyMjM5MDZfMF8z_b_B0675fa55fe8ce0583fb05fa02330e9f1.mp4
何不潇洒走一回,https://txmov2.a.kwimgs.com/upic/2022/05/17/09/BMjAyMjA1MTcwOTU4NTFfOTU2MzA3MDg4Xzc0NjA5ODAyNDI5XzJfMw==_b_B223b68034c3516559843ae46ee9a78fc.mp4
陈楚生-想念,http://em.21dtv.com/songs/60049177.mkv
成龙-男儿当自强,http://em.21dtv.com/songs/60030886.mkv
